,coin,words,count
137,XRP,tipbot,92
138,XRP,people,92
139,XRP,time,85
140,DOT,auctions,97
141,DOT,ecosystem,94
142,DOT,parachain,85
143,DOT,going,78
144,DOT,auction,64
145,DOT,slot,57
146,DOT,trade,56
147,DOT,project,53
148,DOT,layer,52
149,DOT,think,49
150,DOT,market,44
151,DOT,update,44
152,DOT,live,43
153,DOT,ksm,42
154,DOT,learn,39
155,DOT,people,38
156,DOT,parachains,37
157,DOT,video,35
158,DOT,kusama,35
159,DOT,time,34
160,LUNA,like,114
161,LUNA,community,98
162,LUNA,buy,96
163,LUNA,send,93
164,LUNA,think,89
165,LUNA,know,83
166,LUNA,time,76
167,LUNA,price,73
168,LUNA,people,73
169,LUNA,ecosystem,73
170,LUNA,buying,65
171,LUNA,burn,64
172,LUNA,ser,62
173,LUNA,soon,61
174,LUNA,going,59
175,LUNA,market,56
176,LUNA,ust,54
177,LUNA,columbus5,52
178,LUNA,yes,47
179,LUNA,good,45
180,DOGE,people,242
181,DOGE,like,213
182,DOGE,community,163
183,DOGE,good,138
184,DOGE,going,134
185,DOGE,elon,131
186,DOGE,buy,121
187,DOGE,yes,108
188,DOGE,retweet,101
189,DOGE,want,96
190,DOGE,time,96
191,DOGE,newsletter,93
192,DOGE,think,91
193,DOGE,lets,90
194,DOGE,money,87
195,DOGE,world,86
196,DOGE,memes,83
197,DOGE,moon,82
198,DOGE,meme,79
199,DOGE,twitter,78
200,AVAX,info,221
201,AVAX,announce,127
202,AVAX,partnership,111
203,AVAX,users,103
204,AVAX,details,100
205,AVAX,live,92
206,AVAX,farm,91
207,AVAX,daily,87
208,AVAX,avalanchespace,84
209,AVAX,digest,83
210,AVAX,rewards,79
211,AVAX,network,75
212,AVAX,yield,69
213,AVAX,launch,69
214,AVAX,platform,68
215,AVAX,stake,67
216,AVAX,liquidity,65
217,AVAX,joe,64
218,AVAX,earn,63
219,AVAX,ecosystem,61
220,SHIB,good,213
221,SHIB,support,182
222,SHIB,zone,154
223,SHIB,chart,143
224,SHIB,targets,143
225,SHIB,join,113
226,SHIB,morning,111
227,SHIB,let,106
228,SHIB,bullish,89
229,SHIB,thanks,81
230,SHIB,brother,71
231,SHIB,wow,70
232,SHIB,source,64
233,SHIB,resistance,62
234,SHIB,bro,62
235,SHIB,retweet,60
236,SHIB,moon,59
237,SHIB,love,59
238,SHIB,great,58
239,SHIB,congrats,57
240,CRO,details,205
241,CRO,app,198
242,CRO,exchange,178
243,CRO,trading,110
244,CRO,defi,90
245,CRO,trade,89
246,CRO,deposit,80
247,CRO,sign,79
248,CRO,wallet,73
249,CRO,available,65
250,CRO,withdrawals,52
251,CRO,deposits,50
252,CRO,network,50
253,CRO,win,46
254,CRO,price,43
255,CRO,added,40
256,CRO,buy,40
257,CRO,users,38
258,CRO,enabled,36
259,CRO,pairs,36
260,MATIC,volume,101
261,MATIC,trading,87
262,MATIC,whale,85
263,MATIC,ecosystem,80
264,MATIC,pos,58
265,MATIC,buy,51
266,MATIC,price,50
267,MATIC,learn,49
268,MATIC,wallets,49
269,MATIC,live,47
270,MATIC,sell,47
271,MATIC,flow,43
272,MATIC,current,43
273,MATIC,net,42
274,MATIC,users,36
275,MATIC,hours,34
276,MATIC,highest,33
277,MATIC,leaderboard,33
278,MATIC,transaction,30
279,MATIC,nft,28
280,WBTC,mcap,5
281,WBTC,transaction,5
282,WBTC,whale,4
283,WBTC,bought,4
284,WBTC,ranked,4
285,WBTC,whalestats,4
286,WBTC,wrapped,3
287,WBTC,checked,1
288,WBTC,find,1
289,WBTC,soon,1
290,WBTC,early,1
291,WBTC,access,1
292,WBTC,august,1
293,WBTC,based,1
294,WBTC,ben,1
295,WBTC,wonder,1
296,WBTC,signed,1
297,WBTC,chainlink,1
298,WBTC,makes,1
299,WBTC,transferred,1
300,ALGO,blockchain,121
301,ALGO,community,97
302,ALGO,governance,77
303,ALGO,ecosystem,71
304,ALGO,live,70
305,ALGO,today,67
306,ALGO,join,66
307,ALGO,excited,59
308,ALGO,register,54
309,ALGO,miami,54
310,ALGO,nft,50
311,ALGO,launch,48
312,ALGO,read,48
313,ALGO,watch,47
314,ALGO,week,45
315,ALGO,drl,45
316,ALGO,learn,43
317,ALGO,check,42
318,ALGO,welcome,41
319,ALGO,platform,41
320,LTC,daily,139
321,LTC,bullish,94
322,LTC,technical,88
323,LTC,outlook,87
324,LTC,support,79
325,LTC,ltcbtc,77
326,LTC,time,72
327,LTC,today,66
328,LTC,closed,62
329,LTC,update,59
330,LTC,chart,54
331,LTC,resistance,49
332,LTC,price,48
333,LTC,weekly,42
334,LTC,live,42
335,LTC,legends,41
336,LTC,tomorrow,40
337,LTC,like,38
338,LTC,trade,37
339,LTC,close,37
340,UNI,volume,40
341,UNI,price,32
342,UNI,current,31
343,UNI,wallets,28
344,UNI,trading,28
345,UNI,whale,27
346,UNI,net,27
347,UNI,flow,27
348,UNI,buy,19
349,UNI,sell,18
350,UNI,ratio,16
351,UNI,hodlers,16
352,UNI,launch,11
353,UNI,today,11
354,UNI,whales,10
355,UNI,liquidity,7
356,UNI,market,7
357,UNI,holding,7
358,UNI,bought,7
359,UNI,ranked,7
