,coin,words,count
205,AVAX,details,100
206,AVAX,live,92
207,AVAX,farm,91
208,AVAX,daily,87
209,AVAX,avalanchespace,84
210,AVAX,digest,83
211,AVAX,rewards,79
212,AVAX,network,75
213,AVAX,yield,69
214,AVAX,launch,69
215,AVAX,platform,68
216,AVAX,stake,67
217,AVAX,liquidity,65
218,AVAX,joe,64
219,AVAX,earn,63
220,SHIB,good,213
221,SHIB,support,182
222,SHIB,zone,154
223,SHIB,chart,143
224,SHIB,targets,143
225,SHIB,new,116
226,SHIB,join,113
227,SHIB,morning,111
228,SHIB,let,106
229,SHIB,bullish,89
230,SHIB,thanks,81
231,SHIB,brother,71
232,SHIB,wow,70
233,SHIB,source,64
234,SHIB,resistance,62
235,SHIB,bro,62
236,SHIB,retweet,60
237,SHIB,moon,59
238,SHIB,love,59
239,SHIB,great,58
240,CRO,details,205
241,CRO,app,198
242,CRO,exchange,178
243,CRO,trading,110
244,CRO,defi,90
245,CRO,trade,89
246,CRO,new,85
247,CRO,deposit,80
248,CRO,sign,79
249,CRO,wallet,73
250,CRO,available,65
251,CRO,tokens,55
252,CRO,withdrawals,52
253,CRO,deposits,50
254,CRO,network,50
255,CRO,win,46
256,CRO,price,43
257,CRO,added,40
258,CRO,buy,40
259,CRO,users,38
260,MATIC,volume,101
261,MATIC,trading,87
262,MATIC,whale,85
263,MATIC,ecosystem,80
264,MATIC,pos,58
265,MATIC,buy,51
266,MATIC,price,50
267,MATIC,learn,49
268,MATIC,wallets,49
269,MATIC,live,47
270,MATIC,sell,47
271,MATIC,flow,43
272,MATIC,current,43
273,MATIC,net,42
274,MATIC,users,36
275,MATIC,hours,34
276,MATIC,highest,33
277,MATIC,leaderboard,33
278,MATIC,transaction,30
279,MATIC,projects,29
280,WBTC,mcap,5
281,WBTC,transaction,5
282,WBTC,whale,4
283,WBTC,bought,4
284,WBTC,ranked,4
285,WBTC,whalestats,4
286,WBTC,wrapped,3
287,WBTC,checked,1
288,WBTC,find,1
289,WBTC,soon,1
290,WBTC,early,1
291,WBTC,access,1
292,WBTC,august,1
293,WBTC,based,1
294,WBTC,ben,1
295,WBTC,wonder,1
296,WBTC,signed,1
297,WBTC,chainlink,1
298,WBTC,makes,1
299,WBTC,transferred,1
300,ALGO,blockchain,121
301,ALGO,community,97
302,ALGO,new,87
303,ALGO,governance,77
304,ALGO,ecosystem,71
305,ALGO,live,70
306,ALGO,today,67
307,ALGO,join,66
308,ALGO,excited,59
309,ALGO,register,54
310,ALGO,miami,54
311,ALGO,nft,50
312,ALGO,launch,48
313,ALGO,read,48
314,ALGO,watch,47
315,ALGO,week,45
316,ALGO,drl,45
317,ALGO,learn,43
318,ALGO,check,42
319,ALGO,welcome,41
320,LTC,daily,139
321,LTC,bullish,94
322,LTC,technical,88
323,LTC,outlook,87
324,LTC,support,79
325,LTC,ltcbtc,77
326,LTC,time,72
327,LTC,today,66
328,LTC,new,63
329,LTC,closed,62
330,LTC,update,59
331,LTC,chart,54
332,LTC,resistance,49
333,LTC,price,48
334,LTC,weekly,42
335,LTC,live,42
336,LTC,legends,41
337,LTC,tomorrow,40
338,LTC,like,38
339,LTC,trade,37
340,UNI,volume,40
341,UNI,price,32
342,UNI,current,31
343,UNI,wallets,28
344,UNI,trading,28
345,UNI,whale,27
346,UNI,net,27
347,UNI,flow,27
348,UNI,buy,19
349,UNI,sell,18
350,UNI,ratio,16
351,UNI,hodlers,16
352,UNI,launch,11
353,UNI,today,11
354,UNI,whales,10
355,UNI,tokens,8
356,UNI,liquidity,7
357,UNI,market,7
358,UNI,projects,7
359,UNI,holding,7
