,coin,words,count
137,BNB,nance,2
138,BNB,listings,2
139,BNB,yields,2
140,BNB,nft,2
141,BNB,=,2
142,BNB,big,2
143,BNB,soon,1
144,BNB,disclosed,1
145,BNB,set,1
146,BNB,complete,1
147,BNB,public,1
148,BNB,offering,1
149,BNB,raise,1
150,USDT,trading,1328
151,USDT,details,621
152,USDT,deposit,533
153,USDT,pair,511
154,USDT,open,435
155,USDT,trade,389
156,USDT,withdrawal,365
157,USDT,today,364
158,USDT,listing,364
159,USDT,nov,330
160,USDT,list,267
161,USDT,mexc,266
162,USDT,zone,266
163,USDT,opened,262
164,USDT,pairs,257
165,USDT,live,247
166,USDT,bitrue,227
167,USDT,oct,200
168,USDT,listed,199
169,USDT,sep,181
170,USDT,innovation,177
171,USDT,deposits,173
172,USDT,successfully,158
173,USDT,available,150
174,USDT,network,148
175,USDT,gets,135
176,USDT,join,134
177,USDT,goes,125
178,USDT,starts,120
179,USDT,passed,111
180,USDT,liquidity,110
181,USDT,ready,103
182,USDT,coins,102
183,USDT,time,102
184,USDT,erc20,97
185,USDT,add,96
186,USDT,follow,96
187,USDT,group,93
188,USDT,daily,92
189,USDT,share,90
190,USDT,assessment,89
191,USDT,30,88
192,USDT,rate,86
193,USDT,interest,86
194,USDT,mins,86
195,USDT,contest,85
196,USDT,support,85
197,USDT,traders,84
198,USDT,loans,83
199,USDT,borrow,77
200,SOL,buy,54
201,SOL,chart,52
202,SOL,gave,49
203,SOL,market,47
204,SOL,solusdt,46
205,SOL,signal,46
206,SOL,like,38
207,SOL,world,35
208,SOL,update,30
209,SOL,live,25
210,SOL,ath,25
211,SOL,floor,25
212,SOL,join,23
213,SOL,time,23
214,SOL,video,22
215,SOL,long,22
216,SOL,members,21
217,SOL,twitter,21
218,SOL,daily,18
219,SOL,going,16
220,SOL,value,16
221,SOL,updated,16
222,SOL,link,15
223,SOL,high,15
224,SOL,followers,15
225,SOL,think,15
226,SOL,years,15
227,SOL,watch,13
228,SOL,member,13
229,SOL,nft,13
230,SOL,pump,13
231,SOL,cryptocurrencies,13
232,SOL,highs,12
233,SOL,good,12
234,SOL,soon,12
235,SOL,year,12
236,SOL,looks,11
237,SOL,close,11
238,SOL,bullish,11
239,SOL,missed,11
240,SOL,today,11
241,SOL,right,10
242,SOL,oct,10
243,SOL,price,10
244,SOL,posted,10
245,SOL,bounce,10
246,SOL,follow,10
247,SOL,send,10
248,SOL,flip,10
249,SOL,love,10
250,ADA,people,225
251,ADA,smart,183
252,ADA,going,163
253,ADA,world,159
254,ADA,like,154
255,ADA,stake,152
256,ADA,today,152
257,ADA,time,149
258,ADA,contracts,148
259,ADA,coins,131
260,ADA,community,130
261,ADA,project,121
262,ADA,price,112
263,ADA,summit,106
264,ADA,technology,105
265,ADA,think,100
266,ADA,ecosystem,96
267,ADA,know,89
268,ADA,future,85
269,ADA,decentralized,85
270,ADA,team,84
271,ADA,year,83
272,ADA,market,82
273,ADA,network,82
274,ADA,days,82
275,ADA,years,81
276,ADA,adoption,79
277,ADA,staking,78
278,ADA,use,76
279,ADA,long,74
280,ADA,big,74
281,ADA,soon,73
282,ADA,buy,72
283,ADA,number,72
284,ADA,best,71
285,ADA,blockchain,71
286,ADA,great,69
287,ADA,financial,68
288,ADA,money,65
289,ADA,week,64
290,ADA,good,64
291,ADA,change,64
292,ADA,want,63
293,ADA,hold,62
294,ADA,wallet,61
295,ADA,way,61
296,ADA,newsletter,61
297,ADA,lot,59
298,ADA,coming,59
299,ADA,edition,59
300,XRP,sec,469
301,XRP,win,213
302,XRP,lawsuit,166
303,XRP,community,128
304,XRP,like,124
305,XRP,ledger,120
306,XRP,claim,113
307,XRP,daily,105
308,XRP,price,104
309,XRP,follow,103
310,XRP,single,103
311,XRP,chance,95
312,XRP,going,94
313,XRP,winner,93
314,XRP,chances,93
315,XRP,register,93
316,XRP,congratulations,92
317,XRP,tipbot,92
318,XRP,people,92
319,XRP,time,85
320,XRP,investors,76
321,XRP,know,75
322,XRP,video,70
323,XRP,want,69
324,XRP,link,68
325,XRP,coinbase,66
326,XRP,highly,65
327,XRP,market,64
328,XRP,banks,63
329,XRP,bitrue,63
330,XRP,hiring,63
331,XRP,sign,61
332,XRP,world,60
333,XRP,click,60
334,XRP,network,59
335,XRP,think,59
336,XRP,recommend,59
337,XRP,use,57
338,XRP,assets,57
339,XRP,good,53
340,XRP,said,52
341,XRP,million,52
342,XRP,launched,51
343,XRP,case,50
344,XRP,digital,50
345,XRP,free,50
346,XRP,payments,49
347,XRP,news,48
348,XRP,need,47
349,XRP,industry,47
350,DOT,auctions,97
351,DOT,ecosystem,94
352,DOT,parachain,85
353,DOT,going,78
354,DOT,auction,64
355,DOT,slot,57
356,DOT,trade,56
357,DOT,project,53
358,DOT,layer,52
359,DOT,think,49
360,DOT,market,44
361,DOT,update,44
362,DOT,live,43
363,DOT,ksm,42
364,DOT,learn,39
365,DOT,people,38
366,DOT,parachains,37
367,DOT,video,35
368,DOT,kusama,35
369,DOT,time,34
370,DOT,years,34
371,DOT,join,34
372,DOT,like,32
373,DOT,price,32
374,DOT,support,32
375,DOT,right,32
376,DOT,blockchain,32
377,DOT,crowdloan,31
378,DOT,today,30
379,DOT,nft,29
380,DOT,know,29
381,DOT,lock,29
382,DOT,=,27
383,DOT,efinity,26
384,DOT,gains,26
385,DOT,members,26
386,DOT,entire,26
387,DOT,biggest,26
388,DOT,coming,25
389,DOT,want,25
390,DOT,soon,25
391,DOT,participate,25
392,DOT,got,24
393,DOT,good,23
394,DOT,team,23
395,DOT,built,23
396,DOT,rewards,22
397,DOT,nov,22
398,DOT,start,22
399,DOT,movr,22
400,LUNA,like,114
401,LUNA,community,98
402,LUNA,buy,96
403,LUNA,send,93
404,LUNA,think,89
405,LUNA,know,83
406,LUNA,time,76
407,LUNA,price,73
408,LUNA,people,73
409,LUNA,ecosystem,73
410,LUNA,buying,65
411,LUNA,burn,64
412,LUNA,ser,62
413,LUNA,soon,61
414,LUNA,going,59
415,LUNA,market,56
416,LUNA,ust,54
417,LUNA,columbus5,52
418,LUNA,yes,47
419,LUNA,good,45
420,LUNA,coming,45
421,LUNA,use,45
422,LUNA,want,44
423,LUNA,money,42
424,LUNA,need,41
425,LUNA,check,41
426,LUNA,proposal,41
427,LUNA,right,40
428,LUNA,protocol,40
429,LUNA,launch,40
430,LUNA,today,39
431,LUNA,nfts,39
432,LUNA,sure,38
433,LUNA,worth,38
434,LUNA,bought,37
435,LUNA,big,37
436,LUNA,bullish,36
437,LUNA,nft,36
438,LUNA,days,35
439,LUNA,love,35
440,LUNA,got,35
441,LUNA,follow,34
442,LUNA,pool,34
443,LUNA,come,33
444,LUNA,great,32
445,LUNA,staking,32
446,LUNA,look,32
447,LUNA,anchor,32
448,LUNA,lot,31
449,LUNA,months,31
450,DOGE,people,242
451,DOGE,like,213
452,DOGE,community,163
453,DOGE,good,138
454,DOGE,going,134
455,DOGE,elon,131
456,DOGE,buy,121
457,DOGE,yes,108
458,DOGE,retweet,101
459,DOGE,want,96
460,DOGE,time,96
461,DOGE,newsletter,93
462,DOGE,think,91
463,DOGE,lets,90
464,DOGE,money,87
465,DOGE,world,86
466,DOGE,memes,83
467,DOGE,moon,82
468,DOGE,meme,79
469,DOGE,twitter,78
470,DOGE,soon,77
471,DOGE,market,76
472,DOGE,tesla,74
473,DOGE,love,74
474,DOGE,today,74
475,DOGE,right,72
476,DOGE,sure,72
477,DOGE,subscribe,71
478,DOGE,price,70
479,DOGE,hold,69
480,DOGE,news,69
481,DOGE,year,64
482,DOGE,know,63
483,DOGE,accept,63
484,DOGE,big,62
485,DOGE,way,60
486,DOGE,musk,60
487,DOGE,morning,59
488,DOGE,robinhood,58
489,DOGE,future,58
490,DOGE,week,54
491,DOGE,nfts,54
492,DOGE,holding,54
493,DOGE,hit,53
494,DOGE,things,52
495,DOGE,great,51
496,DOGE,hey,51
497,DOGE,lol,51
498,DOGE,latest,51
499,DOGE,lot,50
500,AVAX,info,221
501,AVAX,announce,127
502,AVAX,partnership,111
503,AVAX,users,103
504,AVAX,details,100
505,AVAX,live,92
506,AVAX,farm,91
507,AVAX,daily,87
508,AVAX,avalanchespace,84
509,AVAX,digest,83
510,AVAX,rewards,79
511,AVAX,network,75
512,AVAX,yield,69
513,AVAX,launch,69
514,AVAX,platform,68
515,AVAX,stake,67
516,AVAX,liquidity,65
517,AVAX,joe,64
518,AVAX,earn,63
519,AVAX,ecosystem,61
520,AVAX,available,58
521,AVAX,listed,57
522,AVAX,announced,56
523,AVAX,community,55
524,AVAX,support,54
525,AVAX,pool,54
526,AVAX,farming,49
527,AVAX,farms,49
528,AVAX,soon,48
529,AVAX,protocol,46
530,AVAX,integration,46
531,AVAX,staking,44
532,AVAX,start,42
533,AVAX,like,42
534,AVAX,price,41
535,AVAX,thrilled,40
536,AVAX,trading,40
537,AVAX,wallet,40
538,AVAX,blockchain,39
539,AVAX,use,39
540,AVAX,decentralized,38
541,AVAX,bridge,38
542,AVAX,rush,38
543,AVAX,market,37
544,AVAX,coming,37
545,AVAX,launched,35
546,AVAX,trade,35
547,AVAX,v2,35
548,AVAX,integrated,35
549,AVAX,collection,35
550,SHIB,good,213
551,SHIB,support,182
552,SHIB,zone,154
553,SHIB,chart,143
554,SHIB,targets,143
555,SHIB,join,113
556,SHIB,morning,111
557,SHIB,let,106
558,SHIB,bullish,89
559,SHIB,thanks,81
560,SHIB,brother,71
561,SHIB,wow,70
562,SHIB,source,64
563,SHIB,resistance,62
564,SHIB,bro,62
565,SHIB,retweet,60
566,SHIB,moon,59
567,SHIB,love,59
568,SHIB,great,58
569,SHIB,congrats,57
570,SHIB,ath,57
571,SHIB,lfg,56
572,SHIB,holders,55
573,SHIB,break,51
574,SHIB,rising,50
575,SHIB,nft,49
576,SHIB,soon,47
577,SHIB,price,43
578,SHIB,giveaway,42
579,SHIB,details,41
580,SHIB,game,41
581,SHIB,golden,41
582,SHIB,target,40
583,SHIB,telegram,40
584,SHIB,launch,40
585,SHIB,today,38
586,SHIB,check,38
587,SHIB,buy,38
588,SHIB,like,38
589,SHIB,listing,35
590,SHIB,yeah,35
591,SHIB,daily,35
592,SHIB,reach,35
593,SHIB,rise,34
594,SHIB,pls,34
595,SHIB,send,33
596,SHIB,web,33
597,SHIB,listed,33
598,SHIB,charts,33
599,SHIB,huge,32
600,CRO,details,205
601,CRO,app,198
602,CRO,exchange,178
603,CRO,trading,110
604,CRO,defi,90
605,CRO,trade,89
606,CRO,deposit,80
607,CRO,sign,79
608,CRO,wallet,73
609,CRO,available,65
610,CRO,withdrawals,52
611,CRO,deposits,50
612,CRO,network,50
613,CRO,win,46
614,CRO,price,43
615,CRO,added,40
616,CRO,buy,40
617,CRO,users,38
618,CRO,enabled,36
619,CRO,pairs,36
620,CRO,download,35
621,CRO,volume,34
622,CRO,exclusive,33
623,CRO,update,32
624,CRO,weekly,30
625,CRO,erc20,30
626,CRO,pair,30
627,CRO,check,30
628,CRO,fiat,30
629,CRO,start,30
630,CRO,bep20,29
631,CRO,currencies,29
632,CRO,nft,29
633,CRO,fees,29
634,CRO,supercharger,29
635,CRO,cronos,28
636,CRO,market,27
637,CRO,time,27
638,CRO,true,27
639,CRO,cost,27
640,CRO,eur,27
641,CRO,gbp,27
642,CRO,booster,27
643,CRO,chance,26
644,CRO,listings,26
645,CRO,listed,26
646,CRO,live,26
647,CRO,launch,25
648,CRO,volatility,24
649,CRO,november,23
650,MATIC,volume,101
651,MATIC,trading,87
652,MATIC,whale,85
653,MATIC,ecosystem,80
654,MATIC,pos,58
655,MATIC,buy,51
656,MATIC,price,50
657,MATIC,learn,49
658,MATIC,wallets,49
659,MATIC,live,47
660,MATIC,sell,47
661,MATIC,flow,43
662,MATIC,current,43
663,MATIC,net,42
664,MATIC,users,36
665,MATIC,hours,34
666,MATIC,highest,33
667,MATIC,leaderboard,33
668,MATIC,transaction,30
669,MATIC,nft,28
670,MATIC,bought,26
671,MATIC,blockchain,25
672,MATIC,hodlers,25
673,MATIC,chain,24
674,MATIC,ranked,24
675,MATIC,whalestats,24
676,MATIC,pm,23
677,MATIC,scaling,22
678,MATIC,workshop,22
679,MATIC,follow,20
680,MATIC,fees,20
681,MATIC,join,20
682,MATIC,hackathon,20
683,MATIC,today,20
684,MATIC,building,19
685,MATIC,user,19
686,MATIC,network,19
687,MATIC,coming,19
688,MATIC,world,19
689,MATIC,read,19
690,MATIC,ratio,19
691,MATIC,check,18
692,MATIC,support,17
693,MATIC,solutions,16
694,MATIC,nightfall,16
695,MATIC,use,16
696,MATIC,biggest,15
697,MATIC,built,15
698,MATIC,register,15
699,MATIC,3,14
700,WBTC,mcap,5
701,WBTC,transaction,5
702,WBTC,whale,4
703,WBTC,bought,4
704,WBTC,ranked,4
705,WBTC,whalestats,4
706,WBTC,wrapped,3
707,WBTC,checked,1
708,WBTC,find,1
709,WBTC,soon,1
710,WBTC,early,1
711,WBTC,access,1
712,WBTC,august,1
713,WBTC,based,1
714,WBTC,ben,1
715,WBTC,wonder,1
716,WBTC,signed,1
717,WBTC,chainlink,1
718,WBTC,makes,1
719,WBTC,transferred,1
720,ALGO,blockchain,121
721,ALGO,community,97
722,ALGO,governance,77
723,ALGO,ecosystem,71
724,ALGO,live,70
725,ALGO,today,67
726,ALGO,join,66
727,ALGO,excited,59
728,ALGO,register,54
729,ALGO,miami,54
730,ALGO,nft,50
731,ALGO,launch,48
732,ALGO,read,48
733,ALGO,watch,47
734,ALGO,week,45
735,ALGO,drl,45
736,ALGO,learn,43
737,ALGO,check,42
738,ALGO,welcome,41
739,ALGO,platform,41
740,ALGO,world,41
741,ALGO,prize,40
742,ALGO,tomorrow,38
743,ALGO,miss,38
744,ALGO,like,37
745,ALGO,digital,37
746,ALGO,available,37
747,ALGO,team,37
748,ALGO,congrats,37
749,ALGO,share,36
750,ALGO,pm,35
751,ALGO,stake,35
752,ALGO,built,34
753,ALGO,game,34
754,ALGO,games,34
755,ALGO,win,34
756,ALGO,grant,33
757,ALGO,st,33
758,ALGO,future,33
759,ALGO,look,32
760,ALGO,yieldly,32
761,ALGO,support,31
762,ALGO,latest,30
763,ALGO,accelerator,30
764,ALGO,heat,30
765,ALGO,nfts,29
766,ALGO,tickets,29
767,ALGO,building,29
768,ALGO,vote,29
769,ALGO,big,29
770,LTC,daily,139
771,LTC,bullish,94
772,LTC,technical,88
773,LTC,outlook,87
774,LTC,support,79
775,LTC,ltcbtc,77
776,LTC,time,72
777,LTC,today,66
778,LTC,closed,62
779,LTC,update,59
780,LTC,chart,54
781,LTC,resistance,49
782,LTC,price,48
783,LTC,weekly,42
784,LTC,live,42
785,LTC,legends,41
786,LTC,tomorrow,40
787,LTC,like,38
788,LTC,trade,37
789,LTC,close,37
790,LTC,intraday,37
791,LTC,blue,37
792,LTC,check,36
793,LTC,following,35
794,LTC,market,34
795,LTC,looking,34
796,LTC,good,33
797,LTC,area,33
798,LTC,segwit,33
799,LTC,developer,33
800,LTC,video,32
801,LTC,long,31
802,LTC,action,30
803,LTC,scalp,29
804,LTC,major,29
805,LTC,join,28
806,LTC,trading,28
807,LTC,coinbase,27
808,LTC,people,26
809,LTC,year,26
810,LTC,launch,26
811,LTC,change,25
812,LTC,think,24
813,LTC,want,24
814,LTC,right,23
815,LTC,range,23
816,LTC,pay,23
817,LTC,bitcoins,23
818,LTC,low,22
819,LTC,updates,22
820,UNI,volume,40
821,UNI,price,32
822,UNI,current,31
823,UNI,wallets,28
824,UNI,trading,28
825,UNI,whale,27
826,UNI,net,27
827,UNI,flow,27
828,UNI,buy,19
829,UNI,sell,18
830,UNI,ratio,16
831,UNI,hodlers,16
832,UNI,launch,11
833,UNI,today,11
834,UNI,whales,10
835,UNI,liquidity,7
836,UNI,market,7
837,UNI,holding,7
838,UNI,bought,7
839,UNI,ranked,7
840,UNI,whalestats,7
841,UNI,transaction,7
842,UNI,live,6
843,UNI,september,6
844,UNI,mainnet,6
845,UNI,traded,6
846,UNI,game,5
847,UNI,check,5
848,UNI,v3,5
849,UNI,november,5
850,UNI,listed,5
851,UNI,hours,5
852,UNI,supply,5
853,UNI,coming,5
854,UNI,mcap,4
855,UNI,available,4
856,UNI,listing,4
857,UNI,october,4
858,UNI,capitalization,4
859,UNI,dapps,4
860,UNI,assets,4
861,UNI,week,4
862,UNI,staking,4
863,UNI,contract,4
864,UNI,biggest,4
865,UNI,richlist,4
866,UNI,common,4
867,UNI,building,3
868,UNI,mln,3
869,UNI,gorgonites,3
