,marketSegment,name,slug,ticker,totalSupply
91,,Eminer,eminer,EM,2100000000
92,Binance,Pledgecamp,pledge-coin,PLG,10000000000
93,Stablecoin,Basis Cash,basis-cash,BAC,54589290.34194546
94,Insurance,inSure DeFi,insure,SURE,88000000000
95,,Simone,simone,SON,99900
96,Stablecoin,Celo Dollar,celo-dollar,CUSD,111193890.9904958
97,Gaming,Game.com,game,GTC,2000000000
98,,EMOGI Network,emogi-network,LOL,21000000000
99,Insurance,Insured Finance,insured-finance,INFI,120000000
100,Financial,Swipe,swipe,SXP,285368788.73913497
101,,12Ships,12ships,TSHP,4980527200
102,,Lukki,lukki,LOT,2000000000
103,Ethereum,PLANET,planet,PLA,5000000000
104,,Tokoin,tokoin,TOKO,2000000000
105,,FIBOS,fibos,FO,1075771761.0869
106,,Cryptocean,cryptocean,CRON,19121150.61929778
107,,VideoCoin,videocoin,VID,265000000
108,,MixMarvel,mixmarvel,MIX,10000000000
109,,Sealchain,sealchain,SEAL,1800000000
110,,Streamit Coin,streamit-coin,STREAM,13529414.41204769
111,,Yobit Token,yobit,YO,17000
112,Binance,CryptoBonusMiles,cryptobonusmiles,CBM,5000000000
113,Stablecoin,Paxos Standard,paxos-standard,USDP,945642940.11
114,,VIDY,vidy,VIDY,10000000000
115,Financial,Vodi X,vodi-x,VDX,1397703182.84111
116,,BidiPass,bidipass,BDP,1500000000
117,,Wavesbet,wavesbet,WBET,59499999948
118,Gaming,Splintershards,splintershards,SPS,382291666
119,Cryptocurrency,AXE,axe,AXE,5260967.896223
120,,Synth sDEFI,sdefi,sDEFI,862.0891
121,Blockchain Service,QLC Chain,qlink,QLC,600000000
122,Tokenization,DeFi Socks,defisocks,DEFISOCKS,
123,,Emirex Token,emirex,EMRX,500000000
124,,Amino Network,amino,AMIO,1000000000
125,,NSS Coin,nss,NSS,100000000
126,,Synth sXAG,sxag,sXAG,6463.877
127,,xCrypt Token,xcrypt,XCT,200000000
128,Protocol,Sentinel Protocol,sentinel-protocol,UPP,500000000.00000006
129,,En-Tan-Mo,en-tan-mo,ETM,210000000
130,,Decentralized Vulnerability Platform,decentralized-vulnerability-platform,DVP,5000000000
131,Gaming,Seedify.fund,seedify-fund,SFUND,100000000
132,Protocol,ChatCoin,chatcoin,CHAT,1000000000
133,Cloud Computing,Ankr,ankr,ANKR,10000000000
134,Trading,CNNS,cnns,CNNS,10000000000
135,Investments,Molecular Future,molecular-future,MOF,100000000
136,Art,Artfinity,artfinity,AT,1000000000
137,Trading,Autonio,autonio,NIOX,315000000
138,Other,SIRIN LABS Token,sirin-labs-token,SRN,572166103.886
139,Other,WHEN Token,when-token,WHEN,875000000
140,Financial,Safe Exchange,safe-exchange-coin,SAFEX,785836169
141,Other,VNT Chain,vnt-chain,VNT,10000000000
142,Trading,Spiking,spiking,SPIKE,5000000000
143,Platform,GoPower,gopower,GPT,111227045.9
144,Cloud Storage,Flowchain,flowchain,FLC,1000000000
145,Blockchain Network,Trias,trias,TRY,10000000000
146,Financial,QuickX Protocol,quickx-protocol,QCX,500000000
147,Trading,ChartEx,chartex,CHART,250000000
148,AI,PATHHIVE,phv,PHV,3500000000
149,Financial,BOLT,bolt,BOLT,995000000
150,Binance,PulsePad,pulsepad,PLSPAD,4990185463.61865
151,Exchange,TOKOK,tokok,TOK,998617461.09785
152,Exchange,INMAX,inmax,INX,6500000
153,Cloud Storage,Lambda,lambda,LAMB,6000000000
154,Advertising,Birdchain,birdchain,BIRD,287504829.4830753
155,DeFi,Yearn Finance DOT,yearn-finance-dot,YFDOT,18493.75
156,Media,Contents Protocol,contents-protocol,CPT,10000000000
157,Advertising,AdEx,adx-net,ADX,144914997.22441092
158,DeFi,Tribe,tribe,TRIBE,1000000000
159,Other,P2P Global Network,p2p-global-network,P2PX,100000000
160,Ethereum,Paragon,paragon,PRG,164936509.401132
161,Other,Asian Fintech,asian-fintech,AFIN,500000000
162,,Synth sCHF,schf,sCHF,
163,,Synth sADA,sada,sADA,77750.6
164,,Synth sDASH,sdash,sDASH,
165,Blockchain Service,S4FE,s4fe,S4F,1000000000
166,Platform,GMB,gmb,GMB,5000000000
167,DeFi,Zero Collateral,zero-collateral,ZCT,
168,Advertising,Online,online,OIO,2500000000
169,Social,CYCLUB,cyclub,CYCLUB,3300000000
170,Exchange,Bitrue Coin,bitrue-coin,BTR,801307097.3484074
171,AI,Lisk Machine Learning,lisk-machine-learning,LML,400000000
172,Smart Contracts,API3,api3,API3,104238461
173,Protocol,Xriba,xriba,XRA,275000000
174,Financial,Almeela ,almeela,KZE,8000000
175,Entertainment,SnapCoin,snapcoin,SNPC,678333334
176,Other,FNB Protocol,fnb-protocol,FNB,2490000160
177,Exchange,Coineal Token,coineal-token,NEAL,10000000000
178,Platform,BUDDY,buddy,BUD,35000000000
179,Cryptocurrency,BuySell,buysell,BULL,5037284.0172
180,Financial,Cryptopay,cryptopay,CPAY,90414745
181,Decentralized Exchange,DIGG,digg,DIGG,6613.10392834
182,,Synth iOIL,ioil,iOIL,
183,Cloud Computing,NKN,nkn,NKN,700000000
184,,Synth sETC,setc,sETC,
185,Other,HashNet BitEco,hashnet-biteco,HNB,1000000000
186,,TNC Coin,tnc-coin,TNC,196719999947
187,,Decentral Games [new],decentral-games-new,DG,225070524.81208998
188,Financial,EveryCoin,everycoin,EVY,88800000000
189,Platform,IZIChain,izichain,IZI,1250000000
190,Supply,InnovaMinex,innovaminex,MINX,300000000
191,Data,Quadrant Protocol,quadrantprotocol,EQUAD,1000000000
192,Other,Q DAO Governance token v1.0,q-dao-governance-token,QDAO,999081.58
193,AI,Fetch,fetch,FET,1151441225.6042874
194,Gaming,MOBOX,mobox,MBOX,389181745
195,Insurance,ARMOR,armor,ARMOR,1000000000
196,Ethereum,SpiderDAO,spiderdao,SPDR,1000000000
197,Ethereum,Polygon,matic-network,MATIC,10000000000
198,Exchange,DEX,dex,DEX,1892996914
199,Trading,Hxro,hxro,HXRO,1000000000
200,Social,PTON,pton,PTON,23200000000
201,Financial,Bonpay,bonpay,BON,21745688.3534
202,Financial,SwftCoin,swftcoin,SWFTC,10000000000
203,Platform,Levolution,levolution,LEVL,311000000
204,E-Commerce,IOU,iou,IOUX,800000000
205,Communication Network,SpaceChain,spacechain,SPC,392257015.94627684
206,DeFi,Yfi.mobi,yfi-mobi,YFIM,60000
207,Transportation,ParkinGo,parkingo,GOT,94808613.2074404
208,Infrastructure,Stacks,blockstack,STX,1352464600
209,Exchange,Fatcoin,fatcoin,FAT,200000000
210,Supply,Hercules,hercules,HERC,177593051.093575
211,Financial,CoinUs,coinus,CNUS,2000000000
212,Platform,Assemble Protocol,assemble-protocol,ASM,1350000000
213,Gaming,Decimated,decimated,DIO,1000000000
214,Other,BOSAGORA,bosagora,BOA,450000000
215,Healthcare,Skychain,skychain,SCH,12360000
216,Insurance,Etherisc,etherisc,DIP,1000000000
217,Platform,FLETA,fleta,FLETA,2000000000
218,Interoperability,EXRNchain,exrnchain,EXRN,100000000000
219,Financial,Internxt,internxt,INXT,1119294
220,Media,Fountain,fountain,FTN,2208919510.99
221,Financial,EurocoinToken,eurocoin-token,ECTE,100000000
222,Data,Carry,carry,CRE,10000000000
223,Financial,AIDUS TOKEN,aidus-token,AID,10000000000
224,Blockchain Network,Shyft Network,shyft-network,SHFT,2520000000
225,Other,IntelliShare,intellishare,INE,986000000
226,Exchange,B2BX,b2bx,B2B,19822337.19958543
227,Healthcare,SOLVE,solve,SOLVE,1000000000
228,Platform,Origo,origo,OGO,681277829.938
229,,Tchain,tchain,TCH,100000000
230,Stablecoin,CryptoFranc,cryptofranc,XCHF,2000000
231,Other,Membrana,membrana,MBN,588316307.739053
232,Blockchain Network,Solana,solana,SOL,510610651.4987374
233,Investments,DuckDaoDime,duckdaodime,DDIM,1472092.49864144
234,Blockchain Service,Evedo,evedo,EVED,17756589.687825
235,Other,DREP,drep,DREP,3431350063.1348667
236,Exchange,TigerCash,tigercash,TCH,1000000000
237,Ethereum,SKALE Network,skale-network,SKL,4276664349
238,Entertainment,PIXEL,pixel,PXL,987500000
239,Data,COVA,cova,COVA,6500000000
240,Prediction Market,Bodhi,bodhi,BOT,100000000
241,Blockchain Service,FOAM Protocol,foam,FOAM,1000000000
242,Protocol,Dusk Network,dusk-network,DUSK,500000000
243,,Circuits of Value,circuits-of-value,COVAL,1200000000
244,Financial,Turtlecoin,turtlecoin,TRTL,116826917328.8
245,Gaming,Binemon,binemon,BIN,950000000
246,Protocol,Sharder,sharder,SS,350000000
247,Marketplace,Herbalist Token,herbalist-token,HERB,9500000000
248,Entertainment,The Currency Analytics,the-currency-analytics,TCAT,400000000
249,,UFO Gaming,ufo-gaming,UFO,25757575757575.5
250,Ethereum,Upfiring,upfiring,UFR,24000000.00578804
251,Travel,Tratok,tratok,TRAT,100000000000
252,Cloud Computing,Akash Network,akash-network,AKT,162863559.115862
253,,SifChain,sifchain,erowan,1224966910.7243588
254,Fund,Numeraire,numeraire,NMR,10970786.48867155
255,Binance,DeRace,derace,DERC,120000000
256,,DigitalBits,digitalbits,XDB,1500000000
257,Cryptocurrency,Titan Coin,titan-coin,TTN,910820150.1590686
258,,ProBit Token,probit,PROB,190000000
259,,Gomics,gomics,GOM,75000000
260,Prediction Market,Gnosis,gnosis-gno,GNO,10000000
261,Gaming,Playkey,playkey,PKT,19893267.57518124
262,DeFi,PolkaBridge,polkabridge,PBR,83901196.69918746
263,Cryptocurrency,Wrapped Bitcoin,wrapped-bitcoin,WBTC,256789.73405071
264,Ethereum,MetisDAO,metisdao,METIS,4930000.51
265,Financial,O3Swap,o3swap,O3,43741143.06878021
266,Decentralized Exchange,Lattice Token,lattice-token,LTX,100000000
267,Trading,Coinvest,coinvest,COIN,107142857
268,DeFi,Cherry Swap,cherry-swap,CSW,
269,Bitcoin,ZeroNet,zeronet,ZNT,
270,Bitcoin,Bisq,bisq,BISQ,
271,Other,pEOS,peos,PEOS,1000000000
272,DeFi,Band Protocol,band-protocol,BAND,100000000
273,EOS,Telos,telos,TLOS,355208370.6674
274,Decentralized Exchange,SnowSwap,snowswap,SNOW,500000
275,Gaming,Gods Unchained,gods-unchained,GODS,500000000
276,Blockchain Network,LGCY Network,lgcy-network,LGCY,100000000000
277,,Hyper Speed Network,hyper-speed-network,HSN,939999999.99
278,Stablecoin,Binance USD,binance-usd,BUSD,13598465809.9
279,DeFi,Staked,staked,STK,
280,Exchange,KUN,kun,KUN,1000000
281,DeFi,Alpaca Finance,alpaca-finance,ALPACA,144858125.18686786
282,Gaming,Crabada,crabada,CRA,48304113
283,Platform,PAID Network,paid-network,PAID,594717455.71
284,Insurance,Tidal Finance,tidal-finance,TIDAL,19838000001
285,Gaming,Wall Street Games,wall-street-games,WSG,969784779736925
286,,Krios,krios,KRI,500000000
287,Platform,CyberFi Token,cyberfi,CFI,2400000
288,Exchange,Dragon Token,dragon-token,DT,21406200
289,Virtual Reality,CEEK,ceek-vr,CEEK,1000000000
290,Interoperability,BICONOMY,biconomy,BICO,1000000000
291,,TrueFeedBack,truefeedback,TFB,5000000000
292,Tokenization,PAX Gold,pax-gold,PAXG,179141.425
293,DeFi,Abra,abra,ABR,
294,Blockchain Network,Hive,hive,HIVE,380298571.099
295,DeFi,MetaMoneyMarket,metamoneymarket,MMM,
296,Travel,Ariva,ariva,ARV,93640000000
297,,Unifty,unifty,NIF,5000000
298,Platform,Elitium,elitium,EUM,332200000
299,Smart Contracts,Agrello,agrello-delta,DLT,130271020.035721
300,DeFi,AlphaWallet,alphawallet,AWL,
301,DeFi,Ambo,ambo,AMBO,
302,DeFi,Argent,argent,ARG,
303,DeFi,Betoken,betoken,BTK,
304,,LiquidApps,liquid-apps,DAPP,1056939327.1283
305,,OTOCASH,otocash,OTO,38307412.5696
306,,Colletrix,colletrix,CIPX,1838477280
307,Social,Howdoo,howdoo,UDOO,888888888
308,,AmonD,amond,AMON,7176499999
309,Other,Bob’s Repair,bobs-repair,BOB,360000000
310,Other,Business Credit Substitute,business-credit-substitute,BCS,68000000
311,DeFi,Bitpie,bitpie,BTP,
312,Ethereum,ClearPoll,clearpoll,POLL,8999991.9
313,DeFi,BUTTON Wallet,button-wallet,BUTT,
314,DeFi,Cobo Wallet,cobo-wallet,COBO,
315,Financial,Blockzero Labs,blockzerolabs,XIO,100000000
316,,Synth iLINK,ilink,iLINK,
317,,Polis,polis,POLIS,9831890.566954
318,Other,Blockchain Quotations Index Token,blockchain-quotations-index-token,BQT,1000000000
319,DeFi,Coinbase Wallet,coinbase-wallet,CBW,
320,Ethereum,KEY,key,KEY,100000000000
321,DeFi,Fetch,fetch-wallet,FTW,
322,DeFi,imToken,imtoken,IMT,
323,Financial,Roobee,roobee,ROO,5400000000
324,Decentralized Exchange,SolFarm,solfarm,TULIP,10000000
325,,Synth iTRX,itrx,iTRX,
326,DeFi,DeFi Saver,defi-saver,DFS,
327,DeFi,DexWallet,dexwallet,DWL,
328,Travel,Condominium,condominium,CDM,1607137916.7034
329,,Synth sXMR,sxmr,sXMR,
330,Financial,Solanium,solanium,SLIM,100000000
331,Cryptocurrency,CENTERCOIN,centercoin,CENT,3500002431.62882
332,Data,LemoChain,lemochain,LEMO,1600000000
333,Privacy,Beam,beam,BEAM,102440880
334,Financial,SaluS,salus,SLS,1012265.271484
335,Financial,Solrise Finance,solrise-finance,SLRS,1000000000
336,,Synth sETH,seth,sETH,29935.4
337,Data,Tierion,tierion,TNT,1000000000
338,Tokenization,DeHive,dehive,DHV,2481597.0158735
339,Cryptocurrency,Rhenium,rhenium,XRH,33891939.4450499
340,Ethereum,Block Array,block-array,ARY,88409932.93
341,,Synth sXRP,sxrp,sXRP,
342,Financial,Alpha Token,alpha-token,A,278273649.09200984
343,,Synth iXRP,ixrp,iXRP,
344,,Synth sEOS,seos,sEOS,
345,Investments,Blackmoon,blackmoon,BMC,60000000
346,Exchange,Bibox Token,bibox-token,BIX,235972808.27
347,,Synth iADA,iada,iADA,
348,,Synth iCEX,icex,iCEX,
349,,Synth iDEFI,idefi,iDEFI,
350,DeFi,KeeperDAO,keeperdao,ROOK,1226310
351,DeFi,Modefi,modefi,MOD,22000000
352,,Synth iBCH,ibch,iBCH,
353,Platform,B.Protocol,b-protocol,BPRO,2194432
354,Privacy,Sumokoin,sumokoin,SUMO,46572230.27049632
355,Cryptocurrency,Pure,purex,PUREX,20220781.688152
356,,Synth sEUR,seur,sEUR,
357,,Synth iDASH,idash,iDASH,
358,Other,NNB Token,nnb-token,NNB,6000000000
359,Other,NIX,nix,NIX,49238466.326487
360,AI,Invacio,invacio,INV,19424494
361,Financial,Spendcoin,spendcoin,SPND,2595786940
362,,Synth sBNB,sbnb,sBNB,
363,Stellar,Smartlands,smartlands,SLT,7186785.07945
364,Sports,Cubiex,cubiex,CBIX,71852557
365,Cryptocurrency,Redd,reddcoin,RDD,30397274955
366,Cryptocurrency,Bitcoin Cash ABC,bitcoin-cash-abc-2,BCHA,18572921
367,Network,Cajutel,cajutel,CAJ,1780000
368,Virtual Reality,VIBE,vibe,VIBE,267000000
369,,Synth iLTC,iltc,iLTC,
370,Blockchain Service,Engine,engine,EGC,10000000000
371,Interoperability,Lamden,lamden,TAU,288090567.494
372,,Synth sLTC,sltc,sLTC,
373,Lending,Beta Finance,beta-finance,BETA,1000000000
374,Exchange,DEW,dew,DEW,200000000
375,,Synth sOIL,soil,sOIL,
376,Stablecoin,Vai,vai,VAI,67074720
377,,Synth sXTZ,sxtz,sXTZ,
378,Cryptocurrency,HyperCash,hypercash,HC,45071909.329052
379,Ethereum,Zilla,zilla,ZLA,60000000
380,Financial,MenaPay,menapay,MPAY,400000000
381,Decentralized Exchange,Polkadex,polkadex,PDEX,4501930
382,Prediction Market,SEER,seer,SEER,4100000000
383,Network,MaidSafeCoin,maidsafecoin,MAID,452552412
384,Gambling,CashBet,cashbet-coin,CBC,401647957.75
385,DeFi,Sav3Token,sav3token,SAV3,26734226
386,Cryptocurrency,Unobtanium,unobtanium,UNO,203328.411519
387,Protocol,Bytom,bytom,BTM,1717861650
388,,Synth iBTC,ibtc-synthetix,iBTC,504.91243286
389,Blockchain Service,Cloudbric,cloudbric,CLBK,989556846
390,Interoperability,Ink,ink,INK,1000000000
391,Platform,Komodo,komodo,KMD,129097602.01634
392,IoT,Blockcloud,blockcloud,IOT,10000000000
393,,Synth iETH,ieth,iETH,33199.81990523
394,Insurance,Insureum,insureum,ISR,290000000
395,Neo,Zeepin,zeepin,ZPT,1000000000
396,,Synth iEOS,ieos,iEOS,
397,,Synth sAUD,saud,sAUD,
398,Financial,Zippie,zippie,ZIPT,1000000000
399,Cryptocurrency,Decred,decred,DCR,13560118.10149534
400,Binance,Mines of Dalarnia,mines-of-dalarnia,DAR,800000000
401,,Synth iETC,ietc,iETC,
402,Investments,Intelligent Investment Chain,intelligent-investment-chain,IIC,21000000000
403,Financial,Enzyme,melon,MLN,1824437.31909865
404,,FREE Coin,free-coin,FREE,10000000000000
405,Binance,RedFOX Labs,redfox-labs,RFOX,2000000000
406,,Synth iXMR,ixmr,iXMR,
407,Exchange,International Crypto X,internationalcryptox,INCX,599999990
408,Travel,Quasarcoin,quasarcoin,QAC,263449705.26
409,Healthcare,MediBloc,medibloc,MED,7697598449
410,,Synth iXTZ,ixtz,iXTZ,
411,Gambling,FUNToken,funfair,FUN,10994873521.398026
412,Cloud Computing,Internet Computer,internet-computer,ICP,475166718.68437594
413,Financial,TenX,tenx,PAY,205218255.94857776
414,,Elite,1337coin,1337,29381014024.1221
415,Investments,SPINDLE,spindle,SPD,10000000000
416,Social,ONOToken,onotoken,ONOT,75000000000
417,,Synth iBNB,ibnb,iBNB,
418,Ethereum,Dogs Of Elon,dogs-of-elon,DOE,940000000
419,Financial,BeeKan,beekan,BKBT,10000000000
420,Neo,Gas,gas,GAS,17190378
421,Cryptocurrency,Emercoin,emercoin,EMC,48502843.649068
422,Platform,COPYTRACK,copytrack,CPY,52999378
423,Platform,Burst,burst,BURST,2120642444
424,,Synth sTRX,strx,sTRX,
425,Cryptocurrency,EUNO,euno,EUNO,6390035460.496779
426,Ethereum,Dignity,dignity,DIG,3000000000
427,Protocol,Odyssey,odyssey,OCN,10000000000
428,Binance,Berry Data,berry-data,BRY,7500000
429,Exchange,Themis,themis,GET,1000000000
430,Other,CanonChain,cononchain,CZR,1618033988
431,Verification,Experience Token,experience-token,EXT,10000000000
432,Smart Contracts,Ether Zero,ether-zero,ETZ,228469282.9
433,Blockchain Service,Namecoin,namecoin,NMC,14736400
434,Fund,Invictus Hyperion Fund,invictus-hyperion-fund,IHF,118470656.8138736
435,Gaming,REVV,revv,REVV,3000000000
436,Fund,PEAKDEFI,peakdefi,PEAK,1431424159.6690676
437,IoT,HDAC,hdac,DAC,2147063497
438,Platform,Primas,primas,PST,101342465.753
439,Binance,GameFi,gamefi,GAFI,14965600
440,Jobs,VikkyToken,vikkytoken,VIKKY,12000000000
441,Cryptocurrency,MonaCoin,monacoin,MONA,65729674.871168
442,Blockchain Network,DACC,dacc,DACC,30000000000
443,Financial,Paytomat,paytomat,PTI,3600000000
444,Blockchain Service,Time New Bank,time-new-bank,TNB,4413848444.218691
445,Transportation,ShipChain,shipchain,SHIP,500000000
446,AI,Effect.AI,effect-ai,EFX,650000000
447,Interoperability,Zipper,zip,ZIP,100000000000
448,Sports,Esports Token,esports-token,EST,1000000000
449,Financial,Everus,everus,EVR,1000000000
450,Blockchain Network,Zen Protocol,zen-protocol,ZP,26631450
451,Blockchain Service,Yuan Chain Coin,yuan-chain-coin,YCC,10000000000
452,Marketplace,MediShares,medishares,MDS,2000000000
453,Platform,Phoenix Global,phoenix-global,PHB,3711738526.056178
454,DeFi,MoonSwap,moonswap,MOON,33094207.40437041
455,Exchange,Mothership,mothership,MSP,200000000
456,Gaming,Step Hero,step-hero,HERO,
457,Gambling,Wagerr,wagerr,WGR,228749925.15039417
458,E-Commerce,Connect Coin,connect-coin,XCON,70000000
459,Energy,Grid+,gridplus,GRID,300000000
460,Platform,StockChain,stockchain,SCC,10000000000
461,Financial,OWL Token (StealthSwap),owl-token-stealthswap,OWL,10000000
462,Smart Contracts,TomoChain,tomochain,TOMO,100000000
463,Media,Scorum,scorum-coins,SCR,29265074.799
464,Marketing,qiibee,qiibee,QBX,1380392157
465,Marketplace,EUNOMIA,eunomia,ENTS,19973330191.3784
466,Cryptocurrency,Jiyo,jiyo,JIYOX,19171174.0990736
467,Financial,Moeda Loyalty Points,moeda-loyalty-points,MDA,19628888
468,Financial,Request,request,REQ,999877116.4706944
469,Platform,Sun (New),sun-token,SUN,19900730000
470,Cryptocurrency,Bitcoin Atom,bitcoin-atom,BCA,21000000
471,Masternodes,Divi,divi,DIVI,2629769908.9672046
472,Entertainment,Content Value Network,content-value-network,CVNT,1000000000
473,Smart Contracts,Hurify,hurify,HUR,273325000
474,Cryptocurrency,FairCoin,faircoin,FAIR,53193831.469966
475,Cryptocurrency,DigitalNote,digitalnote,XDN,8068406331.671134
476,Cryptocurrency,Bitcore,bitcore,BTX,18617494.848048
477,Cryptocurrency,Safe,safe,SAFE,29600000
478,Cryptocurrency,Primecoin,primecoin,XPM,38724160.81027372
479,Blockchain Network,Aeternity,aeternity,AE,393358129.49932
480,Ethereum,Snetwork,snetwork,SNET,1000000000
481,Financial,Klever,klever,KLV,10000000000
482,Gambling,BlitzPredict,blitzpredict,XBP,950873123.2766
483,Ethereum,Hermez Network,hermez-network,HEZ,100000000
484,Decentralized Exchange,Sashimi,sashimi,SASHIMI,2303603
485,Stablecoin,Steem Dollars,steem-dollars,SBD,9929925.567
486,DeFi,Maple,maple,MPL,10000000
487,Blockchain Service,Eligma,eligma-token,ELI,327902034
488,Jobs,Chrono.tech,chronotech,TIME,710112.81
489,Ethereum,ValueChain,valuechain,VLC,300000000
490,Exchange,Graviocoin,graviocoin,GIO,293438521.758814
491,Cryptocurrency,Stealth,stealth,XST,39630018.57645603
492,Cryptocurrency,Bitsum,bitsum,BSM,1844674407
493,,SHIELD,shield-xsh,XSH,512973375.234463
494,Social,Pivot Token,pivot-token,PVT,31415926535
495,Binance,ADAPad,adapad,ADAPAD,117642373.1
496,Ethereum,Fantom,fantom,FTM,2545006273
497,Cryptocurrency,MinexCoin,minexcoin,MNX,6597237.5
498,Financial,TokenPay,tokenpay,TPAY,22076270.82026039
499,Verification,Faceter,faceter,FACE,936154235
500,Platform,VITE,vite,VITE,1028218980.2559378
501,Binance,vEmpire DDAO,vempire-ddao,VEMP,810720000
502,Cryptocurrency,Litecoin Cash,litecoin-cash,LCC,745982543.7084944
503,Cryptocurrency,Pura,pura,PURA,183205630.159698
504,Mining,EvenCoin,evencoin,EVN,31247851.344495
505,Platform,Bee Token,bee-token,BEE,500000000
506,Blockchain Service,Nebulas,nebulas-token,NAS,76050299.43476
507,Blockchain Network,GoChain,gochain,GO,1156931195.357076
508,Ethereum,DomRaider,domraider,DRT,1300000000
